OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2583,H0218,Hamilton Branch,0,Pacific Gas & Electric (PG&E),Plumas,5.39,"1, 2",WAT,8/1/1921 0:00,-121.0894449,40.26870819
2584,E0056,Mount  Lassen Power (Retired 2011),1,Mt Lassen Power,Lassen,11.4,GEN 1,WDS,6/1/1985 0:00,-121.0178172,40.29741442
2585,E0041,HL Power Company (Honey Lake),0,HL Power Co,Lassen,35.5,GEN 1,WDS,7/26/1989 0:00,-120.2648348,40.36833267
2586,T0001,Amedee Geothermal Venture I (800 kW),0,Prim and Associates,Lassen,4.1,"IND, SYN",GEO,8/1/1988 0:00,-120.2322805,40.34804164
2587,E0063,Scotia,0,"Humboldt Redwood Company, LLC",Humboldt,32.5,"#3, Gen A, Gen B",WDS,4/21/1935 0:00,-124.1044516,40.48108602
2588,H0547,Baker Station Hydro,0,Not Available,Humboldt,1.5,Unit 1,WAT,12/10/1987 0:00,-123.7255401,40.52643725
2589,S9302,Pristine Sun Fund 5 LLC_(2113_Fritzjarrell),0,Not Available,Shasta,1,Unit 1,SUN,12/31/2013 0:00,-122.453075,40.47544655
2590,E0165,Wheelabrator Hudson Energy - Retired 2003 and 2014,1,Wheelabrator Hudson Energy Co Inc,Shasta,13.6,"1, 1-RP",OBG,1/1/1982 0:00,-122.328882,40.4732055
2591,E0174,SPI - Anderson (Retired 7/27/2015),1,Sierra Pacific Industries Inc,Shasta,4,GEN1,WDS,1/1/1999 0:00,-122.3233787,40.4723495
2592,E0301,SPI-Anderson 2,0,Sierra Pacific Industries Inc,Shasta,30.15,GEN2,WDS,7/27/2015 0:00,-122.3235489,40.47186709
2593,G0487,Redding Power,0,City of Redding Electric Utility,Shasta,183.1,"1, 2, 3, 4, 5, 6",NG,1/1/1996 0:00,-122.4236343,40.50939189
2594,G0563,Wheelabrator Lassen (Retired 5/2013),1,Wheelabrator Technologies Inc,Shasta,38.8,1,NG,1/1/1983 0:00,-122.2684287,40.43711321
2595,E0086,Wheelabrator Shasta,0,Wheelabrator Technologies Inc,Shasta,62.75,"Unit 4, Units 1-3",WDS,1/1/1987 0:00,-122.2791898,40.42851871
2596,H0118,Cow Creek,0,Pacific Gas & Electric (PG&E),Shasta,1.44,"1, 2",WAT,1/1/1907 0:00,-122.0209655,40.57081167
2597,H0507,Bear Creek,0,Central Rivers Power,Shasta,3.2,GEN1,WAT,1/1/1990 0:00,-121.9591581,40.53442767
2598,H0237,Ponderosa Bailey Creek,0,Snow Mountain Hydro LLC,Shasta,1.1,GEN1,WAT,2/25/1990 0:00,-121.8427336,40.45794852
2599,H0545,Volta #1,0,Pacific Gas & Electric (PG&E),Shasta,8.55,1,WAT,4/1/1980 0:00,-121.8670221,40.4590657
2600,H0546,Volta #2,0,Pacific Gas & Electric (PG&E),Shasta,1,931,WAT,10/30/1981 0:00,-121.8621435,40.45192439
2601,E0082,SPI - Susanville - Shut Down 2004,1,Sierra Pacific Industries Inc,Lassen,14.34,"GEN 1, GEN 2",WDS,11/1/1985 0:00,-120.6453693,40.40863692
2602,G1051,High Sierra Cogeneration Power Plant,0,Plumas Sierra Rural Electric Cooperative,Lassen,6,HS,NG,2/26/2010 0:00,-120.5177615,40.40960224
2603,G0268,Humboldt Bay,0,Pacific Gas & Electric (PG&E),Humboldt,304,"Unit 101, Unit 102, Unit 332, Unit 333, Unit 401, Unit 402, Unit 403, Unit 404, Unit 405, Unit 406, Unit 407, Unit 408, Unit 409, Unit 410",NG,12/26/1956 0:00,-124.2085886,40.74097419
2604,H0037,Big Creek Water Works,0,Big Creek Water Works Ltd,Trinity,5,BCHY,WAT,1/1/1987 0:00,-123.4980477,40.6467215
2605,H0286,Lewiston,0,United States Bureau of Reclamation,Trinity,0.35,1,WAT,2/1/1964 0:00,-122.7937892,40.72543616
2606,H0257,Judge F Carr,0,United States Bureau of Reclamation,Shasta,154.4,"UNIT 1, UNIT 2",WAT,5/1/1963 0:00,-122.6269192,40.64692438
2607,H0564,Whiskeytown,0,City of Redding Electric Utility,Shasta,3.5,1,WAT,1/1/1985 0:00,-122.5386848,40.59762235
2608,H0270,Keswick,0,United States Bureau of Reclamation,Shasta,117,"UNIT 1, UNIT 2, UNIT 3",WAT,3/1/1950 0:00,-122.4463715,40.61192356
2609,H0475,Shasta,0,United States Bureau of Reclamation,Shasta,714,"UNIT 1, UNIT 2, UNIT 3, UNIT 4, UNIT 5, UNIT S1, UNIT S2",WAT,4/1/1949 0:00,-122.4220486,40.71744995
2610,H0493,Spring Creek,0,United States Bureau of Reclamation,Shasta,180,"UNIT 1, UNIT 2",WAT,1/1/1964 0:00,-122.4675052,40.62809296
2611,S9002,Shasta College,0,Not Available,Shasta,1,1,SUN,1/1/2012 0:00,-122.3197133,40.63230107
2612,H0271,Kilarc,0,Pacific Gas & Electric (PG&E),Shasta,3,"1, 2",WAT,6/1/1904 0:00,-121.873215,40.67792752
2613,H0371,Olsen,0,Synergics Energy Services LLC,Shasta,5,GEN1,WAT,12/1/1989 0:00,-121.8907079,40.67054581
2614,H0238,Lost Creek 1,0,Snow Mountain Hydro LLC,Shasta,1.1,GEN1,WAT,10/9/1989 0:00,-121.4145413,40.75760315
2615,E0037,DG Fairhaven Power Plant,0,EWP Renewable Corp,Humboldt,15,GEN 1,WDS,9/15/1986 0:00,-124.2030337,40.79942748
2616,E0048,Samoa Pulp Mill (Closed) - Retired December 2008,1,Evergreen Pulp Incorporated,Humboldt,20,GEN1,BLQ,5/1/1965 0:00,-124.1957502,40.80524419
2617,E0088,Humboldt Pulp Mill - Retired Dec 2003,1,Simpson Paper Co,Humboldt,28,GEN1,OGW,1/1/1966 0:00,-124.1944164,40.80540186
2618,E0097,Blue Lake,0,LandGas Technology LLC,Humboldt,27.6,"GEN1, GEN1-Repower",WDS,7/1/1985 0:00,-123.9948872,40.87762525
2619,H0520,Trinity,0,United States Bureau of Reclamation,Trinity,140,"UNIT 1, UNIT 2",WAT,2/1/1964 0:00,-122.7625962,40.79730223
2620,H0168,Montgomery Creek Hydro,0,Central Rivers Power,Shasta,2.6,1,WAT,1/1/1987 0:00,-121.9564586,40.84675971
